source;target
0;43205
0;43206
0;43207
1;43205
1;43208
1;43209
1;43210
1;43211
1;43212
1;43213
1;43214
1;43215
1;43216
1;43217
2;43205
2;43218
2;43219
2;43220
2;43221
3;43205
3;43218
3;43220
3;43222
3;43223
4;43205
4;43224
4;43225
4;43226
5;43205
5;43227
5;43228
5;43229
5;43230
6;43205
6;43215
6;43231
6;43232
7;43205
7;43215
7;43231
7;43233
7;43234
7;43235
8;43205
8;43231
8;43235
8;43236
9;43205
9;43208
9;43209
9;43210
9;43211
9;43212
9;43213
9;43214
9;43215
9;43216
9;43217
10;43205
10;43215
10;43232
10;43237
11;43205
11;43238
11;43239
11;43240
11;43241
11;43242
11;43243
11;43244
11;43245
11;43246
11;43247
11;43248
11;43249
11;43250
11;43251
11;43252
12;43205
12;43215
12;43235
13;43205
13;43215
13;43234
13;43253
13;43254
14;43205
14;43240
14;43250
14;43251
14;43255
15;43205
15;43256
15;43257
16;43205
16;43215
16;43231
16;43232
17;43205
17;43215
17;43234
17;43258
17;43259
18;43205
18;43230
19;43205
19;43235
19;43260
20;43205
20;43230
20;43261
20;43262
21;43205
21;43235
21;43263
22;43205
22;43224
22;43225
22;43226
23;43205
23;43264
23;43265
23;43266
24;43205
24;43263
24;43267
24;43268
25;43205
25;43240
25;43251
25;43269
26;43205
26;43270
26;43271
26;43272
26;43273
26;43274
26;43275
26;43276
26;43277
27;43205
27;43215
27;43234
27;43258
27;43259
28;43205
28;43215
28;43231
28;43235
29;43205
29;43231
29;43235
29;43236
30;43205
30;43230
30;43278
31;43205
31;43264
31;43265
31;43266
32;43205
32;43235
33;43205
33;43229
33;43279
34;43205
34;43279
34;43280
34;43281
34;43282
34;43283
34;43284
34;43285
34;43286
34;43287
34;43288
34;43289
34;43290
34;43291
35;43205
35;43215
35;43292
35;43293
35;43294
35;43295
35;43296
36;43205
36;43297
37;43205
37;43235
37;43263
38;43205
38;43215
38;43232
38;43298
39;43205
39;43218
39;43230
39;43299
40;43205
40;43227
40;43228
40;43229
40;43230
40;43300
41;43205
41;43301
41;43302
41;43303
41;43304
41;43305
42;43205
42;43231
42;43306
42;43307
42;43308
42;43309
42;43310
43;43205
43;43220
